42.Nagasaki.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08894  0.08367  0.29  100000    8367   94081  5062446  50.62
  1947           1     0.03866  0.03792  0.50   91633    3475   89895  4968365  54.22
  1947           2     0.02224  0.02200  0.50   88157    1939   87188  4878470  55.34
  1947           3     0.01262  0.01254  0.50   86218    1081   85678  4791282  55.57
  1947           4     0.00821  0.00818  0.50   85137     696   84789  4705604  55.27
  1947           5     0.00579  0.00578  0.50   84441     488   84197  4620815  54.72
  1947           6     0.00435  0.00434  0.50   83953     365   83771  4536618  54.04
  1947           7     0.00345  0.00345  0.50   83589     288   83445  4452847  53.27
  1947           8     0.00287  0.00287  0.50   83300     239   83181  4369403  52.45
  1947           9     0.00246  0.00246  0.50   83062     204   82960  4286222  51.60
  1947          10     0.00212  0.00212  0.50   82858     175   82770  4203262  50.73
  1947          11     0.00190  0.00189  0.50   82682     157   82604  4120492  49.84
  1947          12     0.00189  0.00188  0.50   82526     156   82448  4037888  48.93
  1947          13     0.00221  0.00221  0.50   82370     182   82279  3955440  48.02
  1947          14     0.00271  0.00271  0.50   82188     223   82077  3873161  47.13
  1947          15     0.00322  0.00322  0.50   81965     264   81834  3791084  46.25
  1947          16     0.00386  0.00385  0.50   81702     315   81545  3709251  45.40
  1947          17     0.00477  0.00476  0.50   81387     387   81194  3627706  44.57
  1947          18     0.00592  0.00590  0.50   81000     478   80761  3546512  43.78
  1947          19     0.00710  0.00707  0.50   80522     569   80237  3465751  43.04
  1947          20     0.00779  0.00776  0.50   79953     621   79642  3385514  42.34
  1947          21     0.00810  0.00806  0.50   79332     640   79012  3305871  41.67
  1947          22     0.00832  0.00828  0.50   78692     652   78367  3226859  41.01
  1947          23     0.00888  0.00884  0.50   78041     690   77696  3148493  40.34
  1947          24     0.00972  0.00968  0.50   77351     748   76977  3070797  39.70
  1947          25     0.00941  0.00936  0.50   76603     717   76244  2993820  39.08
  1947          26     0.00862  0.00858  0.50   75885     651   75560  2917576  38.45
  1947          27     0.00841  0.00838  0.50   75234     630   74919  2842016  37.78
  1947          28     0.00852  0.00848  0.50   74604     633   74287  2767097  37.09
  1947          29     0.00842  0.00838  0.50   73971     620   73661  2692810  36.40
  1947          30     0.00789  0.00785  0.50   73351     576   73063  2619149  35.71
  1947          31     0.00750  0.00747  0.50   72775     544   72503  2546086  34.99
  1947          32     0.00774  0.00771  0.50   72231     557   71953  2473583  34.25
  1947          33     0.00805  0.00802  0.50   71674     575   71387  2401630  33.51
  1947          34     0.00791  0.00788  0.50   71099     560   70819  2330244  32.77
  1947          35     0.00805  0.00802  0.50   70539     566   70256  2259425  32.03
  1947          36     0.00896  0.00892  0.50   69973     624   69661  2189169  31.29
  1947          37     0.00935  0.00931  0.50   69349     645   69027  2119507  30.56
  1947          38     0.00943  0.00939  0.50   68704     645   68381  2050481  29.85
  1947          39     0.00971  0.00967  0.50   68059     658   67730  1982099  29.12
  1947          40     0.00979  0.00974  0.50   67401     657   67073  1914369  28.40
  1947          41     0.00950  0.00945  0.50   66744     631   66429  1847296  27.68
  1947          42     0.00987  0.00982  0.50   66113     649   65789  1780867  26.94
  1947          43     0.01013  0.01008  0.50   65464     660   65134  1715079  26.20
  1947          44     0.00953  0.00948  0.50   64804     615   64497  1649944  25.46
  1947          45     0.00964  0.00960  0.50   64190     616   63882  1585447  24.70
  1947          46     0.01137  0.01131  0.50   63574     719   63214  1521565  23.93
  1947          47     0.01182  0.01175  0.50   62855     739   62486  1458351  23.20
