43.Kumamoto.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08249  0.07784  0.28  100000    7784   94358  5181027  51.81
  1947           1     0.03429  0.03371  0.50   92216    3109   90662  5086669  55.16
  1947           2     0.02072  0.02051  0.50   89107    1827   88194  4996007  56.07
  1947           3     0.01202  0.01194  0.50   87280    1043   86759  4907814  56.23
  1947           4     0.00749  0.00746  0.50   86238     643   85916  4821055  55.90
  1947           5     0.00519  0.00518  0.50   85594     443   85373  4735139  55.32
  1947           6     0.00391  0.00390  0.50   85151     333   84985  4649766  54.61
  1947           7     0.00293  0.00293  0.50   84819     248   84695  4564781  53.82
  1947           8     0.00250  0.00250  0.50   84571     211   84465  4480087  52.97
  1947           9     0.00233  0.00233  0.50   84359     196   84261  4395622  52.11
  1947          10     0.00203  0.00202  0.50   84163     170   84078  4311361  51.23
  1947          11     0.00172  0.00172  0.50   83993     144   83921  4227283  50.33
  1947          12     0.00161  0.00161  0.50   83848     135   83781  4143362  49.41
  1947          13     0.00169  0.00169  0.50   83714     142   83643  4059581  48.49
  1947          14     0.00202  0.00202  0.50   83572     169   83488  3975938  47.57
  1947          15     0.00264  0.00264  0.50   83404     220   83294  3892450  46.67
  1947          16     0.00354  0.00353  0.50   83184     294   83037  3809157  45.79
  1947          17     0.00464  0.00463  0.50   82890     384   82698  3726120  44.95
  1947          18     0.00576  0.00574  0.50   82506     474   82269  3643422  44.16
  1947          19     0.00672  0.00670  0.50   82032     550   81757  3561153  43.41
  1947          20     0.00751  0.00748  0.50   81483     609   81178  3479396  42.70
  1947          21     0.00816  0.00813  0.50   80873     658   80544  3398218  42.02
  1947          22     0.00871  0.00868  0.50   80216     696   79868  3317674  41.36
  1947          23     0.00903  0.00899  0.50   79520     715   79162  3237806  40.72
  1947          24     0.00904  0.00900  0.50   78805     709   78450  3158644  40.08
  1947          25     0.00900  0.00896  0.50   78096     700   77746  3080193  39.44
  1947          26     0.00903  0.00899  0.50   77396     696   77048  3002447  38.79
  1947          27     0.00908  0.00904  0.50   76700     693   76354  2925399  38.14
  1947          28     0.00884  0.00880  0.50   76007     669   75673  2849045  37.48
  1947          29     0.00825  0.00821  0.50   75338     619   75029  2773372  36.81
  1947          30     0.00816  0.00812  0.50   74720     607   74416  2698344  36.11
  1947          31     0.00846  0.00842  0.50   74112     624   73800  2623928  35.40
  1947          32     0.00872  0.00868  0.50   73488     638   73170  2550127  34.70
  1947          33     0.00864  0.00860  0.50   72851     627   72537  2476958  34.00
  1947          34     0.00813  0.00809  0.50   72224     584   71932  2404420  33.29
  1947          35     0.00779  0.00776  0.50   71639     556   71361  2332489  32.56
  1947          36     0.00809  0.00806  0.50   71083     573   70797  2261128  31.81
