44.Oita.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10386  0.09709  0.33  100000    9709   93480  4851994  48.52
  1947           1     0.03662  0.03596  0.50   90291    3247   88667  4758514  52.70
  1947           2     0.02441  0.02412  0.50   87044    2099   85994  4669847  53.65
  1947           3     0.01502  0.01491  0.50   84944    1266   84311  4583853  53.96
  1947           4     0.00888  0.00884  0.50   83678     740   83309  4499542  53.77
  1947           5     0.00562  0.00560  0.50   82939     464   82707  4416233  53.25
  1947           6     0.00411  0.00410  0.50   82474     338   82305  4333526  52.54
  1947           7     0.00326  0.00326  0.50   82136     268   82002  4251221  51.76
  1947           8     0.00277  0.00277  0.50   81868     226   81755  4169219  50.93
  1947           9     0.00248  0.00248  0.50   81642     202   81541  4087465  50.07
  1947          10     0.00228  0.00227  0.50   81439     185   81347  4005924  49.19
  1947          11     0.00223  0.00222  0.50   81254     181   81164  3924577  48.30
  1947          12     0.00238  0.00238  0.50   81074     193   80977  3843413  47.41
  1947          13     0.00260  0.00260  0.50   80881     210   80776  3762436  46.52
  1947          14     0.00294  0.00293  0.50   80671     237   80552  3681660  45.64
  1947          15     0.00350  0.00350  0.50   80434     281   80294  3601108  44.77
  1947          16     0.00438  0.00437  0.50   80153     350   79978  3520814  43.93
  1947          17     0.00558  0.00556  0.50   79803     444   79581  3440836  43.12
  1947          18     0.00692  0.00689  0.50   79359     547   79086  3361255  42.36
  1947          19     0.00817  0.00813  0.50   78812     641   78491  3282170  41.65
  1947          20     0.00921  0.00916  0.50   78171     716   77813  3203678  40.98
  1947          21     0.00995  0.00990  0.50   77455     767   77071  3125865  40.36
  1947          22     0.01034  0.01029  0.50   76688     789   76293  3048794  39.76
  1947          23     0.01039  0.01034  0.50   75899     785   75507  2972501  39.16
  1947          24     0.01026  0.01021  0.50   75114     767   74731  2896994  38.57
  1947          25     0.01039  0.01034  0.50   74348     768   73963  2822263  37.96
  1947          26     0.01056  0.01051  0.50   73579     773   73193  2748299  37.35
  1947          27     0.01046  0.01041  0.50   72806     758   72427  2675107  36.74
  1947          28     0.01012  0.01007  0.50   72048     726   71685  2602680  36.12
  1947          29     0.00965  0.00961  0.50   71322     685   70980  2530995  35.49
  1947          30     0.00913  0.00909  0.50   70637     642   70316  2460015  34.83
  1947          31     0.00870  0.00867  0.50   69995     607   69692  2389699  34.14
  1947          32     0.00851  0.00847  0.50   69388     588   69094  2320007  33.44
  1947          33     0.00858  0.00854  0.50   68800     588   68507  2250912  32.72
  1947          34     0.00887  0.00883  0.50   68213     603   67911  2182406  31.99
  1947          35     0.00923  0.00919  0.50   67610     621   67299  2114494  31.27
  1947          36     0.00952  0.00947  0.50   66989     634   66671  2047195  30.56
  1947          37     0.00974  0.00969  0.50   66354     643   66032  1980524  29.85
  1947          38     0.00990  0.00985  0.50   65711     647   65387  1914491  29.14
  1947          39     0.00996  0.00991  0.50   65064     645   64741  1849104  28.42
  1947          40     0.00997  0.00992  0.50   64419     639   64099  1784363  27.70
  1947          41     0.00998  0.00993  0.50   63780     633   63463  1720263  26.97
  1947          42     0.01005  0.01000  0.50   63146     632   62830  1656800  26.24
  1947          43     0.01036  0.01031  0.50   62515     644   62192  1593970  25.50
  1947          44     0.01100  0.01094  0.50   61870     677   61532  1531777  24.76
  1947          45     0.01168  0.01161  0.50   61194     711   60838  1470245  24.03
  1947          46     0.01212  0.01205  0.50   60483     729   60119  1409407  23.30
  1947          47     0.01244  0.01237  0.50   59754     739   59385  1349289  22.58
  1947          48     0.01296  0.01288  0.50   59015     760   58635  1289904  21.86
  1947          49     0.01392  0.01383  0.50   58255     806   57852  1231269  21.14
  1947          50     0.01514  0.01503  0.50   57450     863   57018  1173416  20.43
  1947          51     0.01633  0.01619  0.50   56586     916   56128  1116398  19.73
  1947          52     0.01723  0.01709  0.50   55670     951   55195  1060270  19.05
  1947          53     0.01786  0.01771  0.50   54719     969   54235  1005075  18.37
  1947          54     0.01889  0.01871  0.50   53750    1006   53247   950841  17.69
  1947          55     0.02011  0.01991  0.50   52744    1050   52219   897593  17.02
  1947          56     0.02124  0.02102  0.50   51694    1086   51151   845374  16.35
  1947          57     0.02259  0.02234  0.50   50608    1130   50043   794223  15.69
  1947          58     0.02458  0.02428  0.50   49477    1201   48877   744181  15.04
  1947          59     0.02723  0.02687  0.50   48276    1297   47628   695304  14.40
  1947          60     0.03024  0.02979  0.50   46979    1400   46279   647676  13.79
  1947          61     0.03319  0.03265  0.50   45579    1488   44835   601397  13.19
  1947          62     0.03552  0.03490  0.50   44091    1539   43322   556562  12.62
  1947          63     0.03703  0.03636  0.50   42552    1547   41779   513240  12.06
  1947          64     0.03908  0.03833  0.50   41005    1572   40219   471461  11.50
  1947          65     0.04283  0.04193  0.50   39433    1654   38606   431242  10.94
  1947          66     0.04731  0.04622  0.50   37780    1746   36907   392636  10.39
  1947          67     0.05211  0.05079  0.50   36034    1830   35119   355729   9.87
  1947          68     0.05703  0.05545  0.50   34204    1897   33255   320611   9.37
  1947          69     0.06164  0.05980  0.50   32307    1932   31341   287355   8.89
  1947          70     0.06599  0.06388  0.50   30375    1940   29405   256014   8.43
  1947          71     0.07167  0.06919  0.50   28435    1967   27451   226609   7.97
  1947          72     0.07839  0.07543  0.50   26467    1996   25469   199159   7.52
  1947          73     0.08535  0.08186  0.50   24471    2003   23469   173690   7.10
  1947          74     0.09227  0.08820  0.50   22468    1982   21477   150220   6.69
  1947          75     0.09918  0.09449  0.50   20486    1936   19518   128744   6.28
  1947          76     0.10712  0.10168  0.50   18550    1886   17607   109225   5.89
  1947          77     0.11788  0.11132  0.50   16664    1855   15737    91618   5.50
  1947          78     0.13242  0.12419  0.50   14809    1839   13890    75882   5.12
  1947          79     0.14810  0.13789  0.50   12970    1788   12076    61992   4.78
  1947          80     0.16250  0.15029  0.50   11182    1681   10341    49916   4.46
  1947          81     0.17767  0.16317  0.50    9501    1550    8726    39575   4.17
  1947          82     0.19588  0.17841  0.50    7951    1418    7241    30849   3.88
  1947          83     0.21621  0.19512  0.50    6532    1275    5895    23608   3.61
  1947          84     0.23804  0.21272  0.50    5258    1118    4698    17713   3.37
  1947          85     0.26110  0.23095  0.50    4139     956    3661    13014   3.14
  1947          86     0.28528  0.24967  0.50    3183     795    2786     9353   2.94
  1947          87     0.31057  0.26883  0.50    2389     642    2067     6567   2.75
  1947          88     0.33698  0.28839  0.50    1746     504    1495     4500   2.58
  1947          89     0.36447  0.30829  0.50    1243     383    1051     3005   2.42
  1947          90     0.39300  0.32846  0.50     860     282     718     1954   2.27
  1947          91     0.42249  0.34881  0.50     577     201     477     1235   2.14
  1947          92     0.45284  0.36924  0.50     376     139     307      759   2.02
  1947          93     0.48394  0.38965  0.50     237      92     191      452   1.91
  1947          94     0.51567  0.40996  0.50     145      59     115      261   1.81
  1947          95     0.54788  0.43007  0.50      85      37      67      146   1.71
  1947          96     0.58042  0.44986  0.50      49      22      38       79   1.63
  1947          97     0.61312  0.46926  0.50      27      13      20       42   1.55
  1947          98     0.64578  0.48816  0.50      14       7      11       21   1.48
  1947          99     0.67819  0.50645  0.50       7       4       5       10   1.42
  1947         100     0.71010  0.52404  0.50       4       2       3        5   1.36
  1947         101     0.74124  0.54081  0.50       2       1       1        2   1.31
  1947         102     0.77131  0.55664  0.50       1       0       1        1   1.26
  1947         103     0.79998  0.57142  0.50       0       0       0        0   1.22
  1947         104     0.82694  0.58504  0.50       0       0       0        0   1.19
  1947         105     0.85185  0.59740  0.50       0       0       0        0   1.16
  1947         106     0.87442  0.60841  0.50       0       0       0        0   1.13
  1947         107     0.89443  0.61804  0.50       0       0       0        0   1.11
  1947         108     0.91199  0.62637  0.50       0       0       0        0   1.09
  1947         109     0.92741  0.63361  0.50       0       0       0        0   1.07
  1947         110+    0.94578  1.00000  1.06       0       0       0        0   1.06
  1948           0     0.06870  0.06528  0.24  100000    6528   95021  5492149  54.92
  1948           1     0.01602  0.01589  0.50   93472    1486   92729  5397128  57.74
  1948           2     0.01275  0.01267  0.50   91987    1166   91404  5304399  57.66
  1948           3     0.00970  0.00965  0.50   90821     877   90382  5212995  57.40
  1948           4     0.00706  0.00703  0.50   89944     633   89628  5122613  56.95
  1948           5     0.00500  0.00498  0.50   89311     445   89089  5032985  56.35
