45.Miyazaki.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08664  0.08160  0.29  100000    8160   94176  5133644  51.34
  1947           1     0.03447  0.03389  0.50   91840    3112   90284  5039468  54.87
  1947           2     0.02423  0.02394  0.50   88728    2124   87666  4949184  55.78
  1947           3     0.01596  0.01584  0.50   86604    1372   85918  4861518  56.14
  1947           4     0.01010  0.01005  0.50   85232     856   84804  4775600  56.03
  1947           5     0.00651  0.00649  0.50   84376     547   84102  4690796  55.59
  1947           6     0.00453  0.00452  0.50   83829     379   83639  4606693  54.95
  1947           7     0.00344  0.00343  0.50   83450     287   83307  4523054  54.20
  1947           8     0.00284  0.00284  0.50   83164     236   83046  4439747  53.39
  1947           9     0.00249  0.00248  0.50   82928     206   82825  4356702  52.54
  1947          10     0.00220  0.00220  0.50   82722     182   82631  4273877  51.67
  1947          11     0.00199  0.00199  0.50   82539     164   82457  4191246  50.78
  1947          12     0.00190  0.00190  0.50   82375     156   82297  4108789  49.88
  1947          13     0.00198  0.00198  0.50   82219     163   82137  4026492  48.97
  1947          14     0.00227  0.00227  0.50   82056     186   81963  3944355  48.07
  1947          15     0.00277  0.00276  0.50   81870     226   81756  3862392  47.18
  1947          16     0.00339  0.00339  0.50   81643     277   81505  3780636  46.31
  1947          17     0.00408  0.00407  0.50   81367     331   81201  3699131  45.46
  1947          18     0.00486  0.00485  0.50   81035     393   80839  3617930  44.65
  1947          19     0.00571  0.00569  0.50   80643     459   80413  3537091  43.86
  1947          20     0.00645  0.00643  0.50   80183     516   79926  3456678  43.11
  1947          21     0.00705  0.00703  0.50   79668     560   79388  3376752  42.39
  1947          22     0.00753  0.00750  0.50   79108     593   78811  3297364  41.68
  1947          23     0.00784  0.00781  0.50   78515     613   78208  3218553  40.99
  1947          24     0.00797  0.00794  0.50   77902     618   77593  3140345  40.31
  1947          25     0.00801  0.00798  0.50   77283     616   76975  3062752  39.63
  1947          26     0.00795  0.00792  0.50   76667     607   76363  2985777  38.94
  1947          27     0.00781  0.00778  0.50   76060     591   75764  2909413  38.25
  1947          28     0.00764  0.00761  0.50   75468     575   75181  2833649  37.55
  1947          29     0.00757  0.00755  0.50   74894     565   74611  2758468  36.83
  1947          30     0.00771  0.00768  0.50   74329     571   74043  2683857  36.11
  1947          31     0.00800  0.00797  0.50   73758     587   73464  2609814  35.38
  1947          32     0.00833  0.00830  0.50   73170     607   72867  2536350  34.66
  1947          33     0.00858  0.00855  0.50   72563     620   72253  2463483  33.95
  1947          34     0.00866  0.00862  0.50   71943     620   71633  2391230  33.24
  1947          35     0.00866  0.00862  0.50   71323     615   71015  2319598  32.52
  1947          36     0.00869  0.00866  0.50   70708     612   70402  2248582  31.80
  1947          37     0.00879  0.00875  0.50   70096     613   69789  2178180  31.07
  1947          38     0.00890  0.00886  0.50   69483     616   69175  2108391  30.34
  1947          39     0.00900  0.00896  0.50   68867     617   68558  2039216  29.61
  1947          40     0.00913  0.00909  0.50   68250     621   67939  1970658  28.87
  1947          41     0.00929  0.00925  0.50   67629     625   67316  1902718  28.13
  1947          42     0.00929  0.00925  0.50   67004     620   66694  1835402  27.39
  1947          43     0.00927  0.00923  0.50   66384     613   66078  1768708  26.64
  1947          44     0.00941  0.00937  0.50   65771     616   65463  1702630  25.89
  1947          45     0.00975  0.00970  0.50   65155     632   64839  1637167  25.13
  1947          46     0.01027  0.01021  0.50   64523     659   64193  1572328  24.37
  1947          47     0.01093  0.01087  0.50   63864     694   63517  1508135  23.61
  1947          48     0.01168  0.01161  0.50   63169     733   62803  1444618  22.87
  1947          49     0.01244  0.01236  0.50   62436     772   62050  1381815  22.13
  1947          50     0.01316  0.01308  0.50   61664     806   61261  1319765  21.40
  1947          51     0.01382  0.01372  0.50   60858     835   60440  1258504  20.68
  1947          52     0.01441  0.01431  0.50   60023     859   59593  1198064  19.96
  1947          53     0.01510  0.01499  0.50   59164     887   58720  1138471  19.24
  1947          54     0.01629  0.01615  0.50   58277     941   57806  1079751  18.53
  1947          55     0.01796  0.01780  0.50   57335    1021   56825  1021945  17.82
  1947          56     0.01994  0.01974  0.50   56315    1112   55759   965120  17.14
  1947          57     0.02195  0.02171  0.50   55203    1198   54604   909360  16.47
  1947          58     0.02378  0.02350  0.50   54005    1269   53370   854757  15.83
