46.Kagoshima.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08622  0.08122  0.29  100000    8122   94194  5041828  50.42
  1947           1     0.04264  0.04175  0.50   91878    3836   89961  4947634  53.85
  1947           2     0.02340  0.02313  0.50   88043    2036   87025  4857673  55.17
  1947           3     0.01303  0.01295  0.50   86007    1114   85450  4770649  55.47
  1947           4     0.00879  0.00875  0.50   84893     743   84522  4685199  55.19
  1947           5     0.00615  0.00613  0.50   84150     516   83892  4600677  54.67
  1947           6     0.00446  0.00445  0.50   83634     372   83448  4516785  54.01
  1947           7     0.00368  0.00368  0.50   83262     306   83109  4433337  53.25
  1947           8     0.00294  0.00293  0.50   82956     243   82835  4350227  52.44
  1947           9     0.00225  0.00224  0.50   82713     186   82620  4267393  51.59
  1947          10     0.00189  0.00189  0.50   82527     156   82450  4184772  50.71
  1947          11     0.00186  0.00186  0.50   82372     153   82295  4102323  49.80
  1947          12     0.00205  0.00204  0.50   82219     168   82135  4020028  48.89
  1947          13     0.00222  0.00222  0.50   82050     182   81959  3937893  47.99
  1947          14     0.00249  0.00248  0.50   81868     203   81767  3855934  47.10
  1947          15     0.00298  0.00298  0.50   81665     243   81544  3774167  46.22
  1947          16     0.00365  0.00364  0.50   81422     297   81274  3692623  45.35
  1947          17     0.00442  0.00441  0.50   81125     358   80947  3611349  44.52
  1947          18     0.00545  0.00544  0.50   80768     439   80548  3530403  43.71
  1947          19     0.00683  0.00681  0.50   80329     547   80055  3449855  42.95
  1947          20     0.00816  0.00812  0.50   79782     648   79458  3369800  42.24
  1947          21     0.00892  0.00888  0.50   79134     703   78782  3290342  41.58
  1947          22     0.00892  0.00888  0.50   78431     696   78082  3211560  40.95
  1947          23     0.00904  0.00900  0.50   77734     700   77384  3133477  40.31
  1947          24     0.00983  0.00978  0.50   77035     753   76658  3056093  39.67
  1947          25     0.00977  0.00973  0.50   76281     742   75910  2979435  39.06
  1947          26     0.00919  0.00914  0.50   75539     691   75194  2903525  38.44
  1947          27     0.00883  0.00879  0.50   74848     658   74520  2828331  37.79
  1947          28     0.00884  0.00880  0.50   74191     653   73864  2753812  37.12
  1947          29     0.00902  0.00898  0.50   73538     661   73208  2679947  36.44
  1947          30     0.00882  0.00878  0.50   72877     640   72557  2606740  35.77
  1947          31     0.00840  0.00836  0.50   72238     604   71936  2534182  35.08
  1947          32     0.00814  0.00810  0.50   71634     581   71343  2462247  34.37
  1947          33     0.00826  0.00823  0.50   71053     585   70761  2390903  33.65
  1947          34     0.00881  0.00877  0.50   70469     618   70160  2320142  32.92
  1947          35     0.00927  0.00923  0.50   69851     645   69528  2249983  32.21
  1947          36     0.00928  0.00923  0.50   69206     639   68886  2180454  31.51
  1947          37     0.00935  0.00931  0.50   68567     638   68248  2111568  30.80
  1947          38     0.00947  0.00943  0.50   67929     641   67608  2043320  30.08
  1947          39     0.00945  0.00941  0.50   67288     633   66972  1975712  29.36
  1947          40     0.00931  0.00926  0.50   66655     618   66346  1908740  28.64
  1947          41     0.00915  0.00911  0.50   66037     602   65737  1842394  27.90
  1947          42     0.00922  0.00918  0.50   65436     601   65136  1776657  27.15
  1947          43     0.00947  0.00943  0.50   64835     611   64530  1711522  26.40
  1947          44     0.00978  0.00973  0.50   64224     625   63911  1646992  25.64
  1947          45     0.01009  0.01004  0.50   63599     638   63280  1583081  24.89
  1947          46     0.01047  0.01042  0.50   62961     656   62632  1519801  24.14
  1947          47     0.01138  0.01131  0.50   62304     705   61952  1457168  23.39
  1947          48     0.01252  0.01244  0.50   61600     766   61217  1395216  22.65
  1947          49     0.01352  0.01343  0.50   60833     817   60425  1334000  21.93
  1947          50     0.01445  0.01435  0.50   60017     861   59586  1273575  21.22
  1947          51     0.01546  0.01534  0.50   59155     908   58702  1213989  20.52
  1947          52     0.01647  0.01634  0.50   58248     952   57772  1155287  19.83
  1947          53     0.01722  0.01708  0.50   57296     978   56807  1097515  19.16
  1947          54     0.01725  0.01711  0.50   56318     963   55836  1040708  18.48
  1947          55     0.01768  0.01753  0.50   55354     970   54869   984872  17.79
  1947          56     0.01959  0.01940  0.50   54384    1055   53857   930002  17.10
  1947          57     0.02221  0.02197  0.50   53329    1172   52743   876146  16.43
  1947          58     0.02447  0.02417  0.50   52158    1261   51527   823402  15.79
  1947          59     0.02610  0.02576  0.50   50897    1311   50241   771875  15.17
  1947          60     0.02781  0.02743  0.50   49586    1360   48906   721634  14.55
  1947          61     0.03017  0.02972  0.50   48226    1433   47509   672728  13.95
  1947          62     0.03253  0.03201  0.50   46792    1498   46043   625219  13.36
  1947          63     0.03420  0.03363  0.50   45294    1523   44533   579176  12.79
  1947          64     0.03561  0.03498  0.50   43771    1531   43006   534643  12.21
  1947          65     0.03762  0.03693  0.50   42240    1560   41460   491637  11.64
  1947          66     0.04129  0.04045  0.50   40680    1646   39857   450177  11.07
  1947          67     0.04574  0.04472  0.50   39035    1746   38162   410319  10.51
  1947          68     0.05017  0.04894  0.50   37289    1825   36376   372158   9.98
  1947          69     0.05601  0.05448  0.50   35464    1932   34498   335781   9.47
  1947          70     0.06326  0.06132  0.50   33532    2056   32504   301283   8.98
  1947          71     0.06649  0.06435  0.50   31476    2026   30463   268779   8.54
  1947          72     0.06788  0.06566  0.50   29450    1934   28483   238316   8.09
  1947          73     0.07179  0.06931  0.50   27517    1907   26563   209833   7.63
  1947          74     0.08168  0.07847  0.50   25610    2010   24605   183270   7.16
  1947          75     0.09682  0.09235  0.50   23600    2180   22510   158665   6.72
  1947          76     0.10548  0.10019  0.50   21420    2146   20347   136155   6.36
  1947          77     0.11111  0.10526  0.50   19274    2029   18260   115808   6.01
  1947          78     0.12031  0.11349  0.50   17245    1957   16267    97548   5.66
  1947          79     0.13296  0.12467  0.50   15288    1906   14335    81281   5.32
  1947          80     0.14719  0.13710  0.50   13382    1835   12465    66946   5.00
  1947          81     0.16090  0.14892  0.50   11547    1720   10688    54482   4.72
  1947          82     0.17308  0.15930  0.50    9828    1566    9045    43794   4.46
  1947          83     0.18642  0.17052  0.50    8262    1409    7558    34749   4.21
  1947          84     0.20115  0.18277  0.50    6853    1253    6227    27191   3.97
  1947          85     0.21679  0.19559  0.50    5601    1095    5053    20964   3.74
  1947          86     0.23340  0.20901  0.50    4505     942    4034    15911   3.53
  1947          87     0.25114  0.22312  0.50    3564     795    3166    11877   3.33
  1947          88     0.26991  0.23782  0.50    2769     658    2439     8711   3.15
  1947          89     0.28967  0.25302  0.50    2110     534    1843     6271   2.97
  1947          90     0.31042  0.26872  0.50    1576     424    1364     4428   2.81
  1947          91     0.33211  0.28481  0.50    1153     328     989     3064   2.66
  1947          92     0.35465  0.30123  0.50     824     248     700     2075   2.52
  1947          93     0.37798  0.31790  0.50     576     183     484     1375   2.39
  1947          94     0.40200  0.33472  0.50     393     132     327      890   2.27
  1947          95     0.42660  0.35161  0.50     261      92     215      563   2.15
  1947          96     0.45167  0.36846  0.50     169      62     138      348   2.05
  1947          97     0.47707  0.38519  0.50     107      41      86      210   1.96
  1947          98     0.50267  0.40171  0.50      66      26      53      123   1.87
  1947          99     0.52831  0.41792  0.50      39      16      31       71   1.79
  1947         100     0.55386  0.43374  0.50      23      10      18       39   1.72
  1947         101     0.57915  0.44910  0.50      13       6      10       21   1.65
  1947         102     0.60403  0.46392  0.50       7       3       5       11   1.59
  1947         103     0.62837  0.47815  0.50       4       2       3        6   1.54
  1947         104     0.65204  0.49173  0.50       2       1       2        3   1.49
  1947         105     0.67488  0.50461  0.50       1       1       1        1   1.44
  1947         106     0.69683  0.51678  0.50       1       0       0        1   1.40
  1947         107     0.71782  0.52823  0.50       0       0       0        0   1.36
  1947         108     0.73770  0.53892  0.50       0       0       0        0   1.33
  1947         109     0.75644  0.54885  0.50       0       0       0        0   1.30
  1947         110+    0.78615  1.00000  1.27       0       0       0        0   1.27
  1948           0     0.06263  0.05971  0.22  100000    5971   95345  5645509  56.46
  1948           1     0.01780  0.01764  0.50   94029    1659   93199  5550164  59.03
  1948           2     0.01343  0.01334  0.50   92370    1233   91753  5456965  59.08
  1948           3     0.00954  0.00949  0.50   91137     865   90705  5365211  58.87
  1948           4     0.00643  0.00641  0.50   90272     578   89983  5274507  58.43
  1948           5     0.00428  0.00427  0.50   89694     383   89502  5184524  57.80
  1948           6     0.00294  0.00294  0.50   89311     262   89180  5095022  57.05
  1948           7     0.00218  0.00218  0.50   89048     194   88952  5005842  56.21
  1948           8     0.00176  0.00176  0.50   88855     157   88776  4916891  55.34
  1948           9     0.00156  0.00156  0.50   88698     138   88629  4828114  54.43
  1948          10     0.00147  0.00147  0.50   88560     130   88494  4739486  53.52
  1948          11     0.00147  0.00147  0.50   88429     130   88364  4650991  52.60
  1948          12     0.00154  0.00153  0.50   88299     135   88232  4562627  51.67
  1948          13     0.00170  0.00170  0.50   88164     149   88089  4474395  50.75
  1948          14     0.00199  0.00199  0.50   88014     175   87927  4386306  49.84
  1948          15     0.00245  0.00245  0.50   87839     215   87732  4298379  48.93
  1948          16     0.00306  0.00306  0.50   87624     268   87490  4210648  48.05
  1948          17     0.00380  0.00379  0.50   87356     331   87191  4123157  47.20
  1948          18     0.00461  0.00459  0.50   87025     400   86825  4035967  46.38
  1948          19     0.00543  0.00542  0.50   86625     469   86391  3949142  45.59
  1948          20     0.00622  0.00620  0.50   86156     534   85889  3862751  44.83
  1948          21     0.00692  0.00689  0.50   85622     590   85327  3776862  44.11
  1948          22     0.00747  0.00745  0.50   85032     633   84715  3691535  43.41
  1948          23     0.00789  0.00786  0.50   84399     663   84067  3606820  42.74
  1948          24     0.00816  0.00813  0.50   83735     681   83395  3522753  42.07
  1948          25     0.00829  0.00826  0.50   83055     686   82712  3439358  41.41
  1948          26     0.00831  0.00827  0.50   82369     681   82028  3356646  40.75
  1948          27     0.00823  0.00820  0.50   81687     670   81352  3274619  40.09
  1948          28     0.00812  0.00809  0.50   81017     656   80690  3193266  39.41
  1948          29     0.00801  0.00798  0.50   80362     641   80041  3112577  38.73
  1948          30     0.00786  0.00783  0.50   79721     624   79408  3032535  38.04
  1948          31     0.00774  0.00771  0.50   79096     610   78791  2953127  37.34
  1948          32     0.00770  0.00767  0.50   78487     602   78186  2874335  36.62
  1948          33     0.00771  0.00768  0.50   77885     598   77586  2796150  35.90
  1948          34     0.00772  0.00769  0.50   77287     594   76990  2718564  35.17
  1948          35     0.00769  0.00766  0.50   76693     587   76399  2641574  34.44
  1948          36     0.00760  0.00757  0.50   76105     576   75817  2565175  33.71
  1948          37     0.00753  0.00750  0.50   75529     567   75246  2489357  32.96
  1948          38     0.00751  0.00748  0.50   74962     561   74682  2414112  32.20
  1948          39     0.00753  0.00751  0.50   74402     558   74122  2339430  31.44
  1948          40     0.00761  0.00758  0.50   73843     560   73563  2265308  30.68
  1948          41     0.00772  0.00769  0.50   73284     564   73002  2191744  29.91
  1948          42     0.00790  0.00787  0.50   72720     572   72434  2118743  29.14
