47.Okinawa.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1973           0     0.01491  0.01473  0.16  100000    1473   98760  7447336  74.47
  1973           1     0.00178  0.00178  0.50   98527     175   98440  7348575  74.58
  1973           2     0.00137  0.00137  0.50   98352     134   98285  7250136  73.72
  1973           3     0.00101  0.00101  0.50   98218      99   98168  7151851  72.82
  1973           4     0.00073  0.00073  0.50   98119      71   98083  7053682  71.89
  1973           5     0.00052  0.00052  0.50   98047      51   98021  6955600  70.94
  1973           6     0.00038  0.00038  0.50   97996      37   97977  6857578  69.98
  1973           7     0.00029  0.00029  0.50   97959      28   97945  6759601  69.00
  1973           8     0.00025  0.00025  0.50   97930      25   97918  6661656  68.02
  1973           9     0.00025  0.00025  0.50   97906      25   97893  6563738  67.04
  1973          10     0.00028  0.00028  0.50   97881      28   97867  6465845  66.06
  1973          11     0.00033  0.00033  0.50   97854      32   97837  6367977  65.08
  1973          12     0.00039  0.00039  0.50   97821      38   97802  6270140  64.10
  1973          13     0.00048  0.00048  0.50   97783      47   97760  6172337  63.12
  1973          14     0.00060  0.00060  0.50   97736      59   97707  6074578  62.15
  1973          15     0.00077  0.00077  0.50   97677      75   97640  5976871  61.19
  1973          16     0.00096  0.00096  0.50   97602      94   97555  5879232  60.24
  1973          17     0.00116  0.00116  0.50   97509     113   97452  5781676  59.29
  1973          18     0.00134  0.00134  0.50   97395     130   97330  5684225  58.36
  1973          19     0.00147  0.00147  0.50   97265     143   97194  5586894  57.44
  1973          20     0.00156  0.00156  0.50   97122     152   97046  5489701  56.52
  1973          21     0.00160  0.00160  0.50   96971     155   96893  5392654  55.61
  1973          22     0.00157  0.00157  0.50   96816     152   96740  5295761  54.70
  1973          23     0.00150  0.00149  0.50   96664     144   96592  5199021  53.78
  1973          24     0.00143  0.00143  0.50   96519     138   96450  5102430  52.86
  1973          25     0.00141  0.00141  0.50   96381     136   96313  5005979  51.94
  1973          26     0.00143  0.00143  0.50   96245     137   96177  4909666  51.01
  1973          27     0.00144  0.00144  0.50   96108     139   96039  4813490  50.08
  1973          28     0.00146  0.00146  0.50   95969     140   95899  4717451  49.16
  1973          29     0.00147  0.00146  0.50   95829     140   95759  4621552  48.23
  1973          30     0.00146  0.00146  0.50   95689     140   95619  4525793  47.30
  1973          31     0.00145  0.00145  0.50   95549     139   95480  4430174  46.37
  1973          32     0.00146  0.00146  0.50   95411     139   95341  4334694  45.43
  1973          33     0.00148  0.00148  0.50   95271     141   95201  4239353  44.50
  1973          34     0.00150  0.00150  0.50   95131     142   95060  4144152  43.56
  1973          35     0.00153  0.00153  0.50   94988     145   94916  4049092  42.63
  1973          36     0.00158  0.00158  0.50   94843     149   94769  3954176  41.69
