05.Akita.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11715  0.10873  0.34  100000   10873   92818  4773783  47.74
  1947           1     0.03856  0.03783  0.50   89127    3372   87441  4680965  52.52
  1947           2     0.02376  0.02348  0.50   85755    2013   84748  4593524  53.57
  1947           3     0.01310  0.01302  0.50   83741    1090   83196  4508776  53.84
  1947           4     0.00681  0.00678  0.50   82651     561   82371  4425580  53.55
  1947           5     0.00391  0.00391  0.50   82091     321   81930  4343209  52.91
  1947           6     0.00297  0.00296  0.50   81770     242   81649  4261278  52.11
  1947           7     0.00261  0.00261  0.50   81528     212   81422  4179630  51.27
  1947           8     0.00246  0.00245  0.50   81315     199   81216  4098208  50.40
  1947           9     0.00239  0.00238  0.50   81116     193   81019  4016992  49.52
  1947          10     0.00231  0.00231  0.50   80923     187   80829  3935973  48.64
  1947          11     0.00225  0.00225  0.50   80736     182   80645  3855144  47.75
  1947          12     0.00224  0.00224  0.50   80554     180   80464  3774499  46.86
  1947          13     0.00233  0.00232  0.50   80373     187   80280  3694035  45.96
  1947          14     0.00252  0.00252  0.50   80187     202   80086  3613755  45.07
  1947          15     0.00286  0.00285  0.50   79985     228   79871  3533669  44.18
  1947          16     0.00339  0.00338  0.50   79757     270   79622  3453799  43.30
  1947          17     0.00417  0.00416  0.50   79487     331   79321  3374177  42.45
  1947          18     0.00523  0.00521  0.50   79156     413   78949  3294856  41.62
  1947          19     0.00649  0.00647  0.50   78743     510   78488  3215906  40.84
  1947          20     0.00766  0.00763  0.50   78233     597   77935  3137418  40.10
  1947          21     0.00852  0.00849  0.50   77636     659   77307  3059483  39.41
  1947          22     0.00896  0.00892  0.50   76978     686   76634  2982176  38.74
  1947          23     0.00908  0.00904  0.50   76291     689   75947  2905542  38.08
  1947          24     0.00903  0.00899  0.50   75602     679   75262  2829595  37.43
  1947          25     0.00884  0.00880  0.50   74922     660   74593  2754333  36.76
  1947          26     0.00862  0.00858  0.50   74263     637   73944  2679740  36.08
  1947          27     0.00847  0.00843  0.50   73626     621   73315  2605796  35.39
  1947          28     0.00840  0.00836  0.50   73005     610   72700  2532481  34.69
  1947          29     0.00837  0.00834  0.50   72394     603   72093  2459781  33.98
  1947          30     0.00828  0.00825  0.50   71791     592   71495  2387689  33.26
  1947          31     0.00822  0.00818  0.50   71199     583   70907  2316194  32.53
  1947          32     0.00826  0.00822  0.50   70616     581   70326  2245286  31.80
  1947          33     0.00830  0.00827  0.50   70035     579   69746  2174961  31.06
  1947          34     0.00826  0.00822  0.50   69457     571   69171  2105215  30.31
  1947          35     0.00826  0.00822  0.50   68886     567   68602  2036044  29.56
  1947          36     0.00843  0.00839  0.50   68319     573   68032  1967441  28.80
  1947          37     0.00862  0.00858  0.50   67746     581   67455  1899409  28.04
  1947          38     0.00886  0.00882  0.50   67164     593   66868  1831954  27.28
  1947          39     0.00923  0.00919  0.50   66572     612   66266  1765086  26.51
  1947          40     0.00974  0.00970  0.50   65960     640   65641  1698820  25.76
  1947          41     0.01034  0.01028  0.50   65321     672   64985  1633179  25.00
  1947          42     0.01069  0.01064  0.50   64649     688   64305  1568194  24.26
  1947          43     0.01090  0.01084  0.50   63961     693   63615  1503889  23.51
  1947          44     0.01114  0.01107  0.50   63268     701   62918  1440274  22.76
  1947          45     0.01156  0.01149  0.50   62567     719   62208  1377356  22.01
  1947          46     0.01228  0.01221  0.50   61848     755   61471  1315149  21.26
  1947          47     0.01325  0.01317  0.50   61093     804   60691  1253678  20.52
  1947          48     0.01436  0.01426  0.50   60289     860   59859  1192987  19.79
  1947          49     0.01551  0.01539  0.50   59429     915   58972  1133128  19.07
  1947          50     0.01665  0.01651  0.50   58514     966   58031  1074156  18.36
  1947          51     0.01779  0.01763  0.50   57548    1015   57041  1016125  17.66
  1947          52     0.01904  0.01886  0.50   56534    1066   56000   959084  16.96
  1947          53     0.02042  0.02021  0.50   55467    1121   54907   903084  16.28
  1947          54     0.02151  0.02128  0.50   54346    1156   53768   848177  15.61
  1947          55     0.02298  0.02272  0.50   53190    1209   52585   794409  14.94
  1947          56     0.02556  0.02523  0.50   51981    1312   51325   741824  14.27
