06.Yamagata.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11062  0.10304  0.33  100000   10304   93141  4866263  48.66
  1947           1     0.03192  0.03142  0.50   89696    2818   88287  4773121  53.21
  1947           2     0.02352  0.02325  0.50   86878    2020   85868  4684834  53.92
  1947           3     0.01620  0.01607  0.50   84858    1364   84176  4598966  54.20
  1947           4     0.01042  0.01037  0.50   83495     866   83062  4514790  54.07
  1947           5     0.00639  0.00637  0.50   82629     527   82366  4431728  53.63
  1947           6     0.00385  0.00384  0.50   82102     316   81944  4349362  52.97
  1947           7     0.00241  0.00240  0.50   81787     197   81688  4267418  52.18
  1947           8     0.00169  0.00169  0.50   81590     137   81521  4185730  51.30
  1947           9     0.00143  0.00143  0.50   81453     116   81394  4104208  50.39
  1947          10     0.00144  0.00143  0.50   81336     117   81278  4022814  49.46
  1947          11     0.00159  0.00159  0.50   81219     129   81155  3941536  48.53
  1947          12     0.00183  0.00183  0.50   81090     149   81016  3860382  47.61
  1947          13     0.00214  0.00214  0.50   80941     173   80855  3779366  46.69
  1947          14     0.00252  0.00251  0.50   80768     203   80667  3698511  45.79
  1947          15     0.00295  0.00295  0.50   80565     238   80446  3617844  44.91
  1947          16     0.00347  0.00346  0.50   80327     278   80189  3537398  44.04
  1947          17     0.00406  0.00405  0.50   80050     324   79887  3457209  43.19
  1947          18     0.00476  0.00475  0.50   79725     378   79536  3377322  42.36
  1947          19     0.00556  0.00554  0.50   79347     440   79127  3297786  41.56
  1947          20     0.00640  0.00638  0.50   78907     503   78655  3218659  40.79
  1947          21     0.00718  0.00715  0.50   78403     561   78123  3140004  40.05
  1947          22     0.00780  0.00777  0.50   77842     605   77540  3061882  39.33
  1947          23     0.00821  0.00818  0.50   77237     632   76921  2984342  38.64
  1947          24     0.00838  0.00835  0.50   76605     639   76286  2907420  37.95
  1947          25     0.00837  0.00833  0.50   75966     633   75650  2831135  37.27
  1947          26     0.00826  0.00822  0.50   75333     619   75023  2755485  36.58
  1947          27     0.00813  0.00810  0.50   74714     605   74411  2680462  35.88
  1947          28     0.00804  0.00801  0.50   74108     594   73812  2606051  35.17
  1947          29     0.00802  0.00799  0.50   73515     587   73221  2532239  34.45
  1947          30     0.00811  0.00807  0.50   72927     589   72633  2459018  33.72
  1947          31     0.00829  0.00825  0.50   72338     597   72040  2386385  32.99
  1947          32     0.00852  0.00848  0.50   71742     609   71437  2314345  32.26
  1947          33     0.00871  0.00867  0.50   71133     617   70824  2242908  31.53
  1947          34     0.00878  0.00874  0.50   70516     616   70208  2172084  30.80
  1947          35     0.00880  0.00876  0.50   69900     612   69594  2101876  30.07
  1947          36     0.00887  0.00883  0.50   69288     612   68982  2032282  29.33
  1947          37     0.00900  0.00896  0.50   68675     616   68368  1963300  28.59
  1947          38     0.00917  0.00913  0.50   68060     621   67749  1894933  27.84
  1947          39     0.00935  0.00931  0.50   67439     628   67125  1827184  27.09
  1947          40     0.00953  0.00948  0.50   66811     634   66494  1760059  26.34
  1947          41     0.00970  0.00965  0.50   66177     639   65858  1693564  25.59
  1947          42     0.00990  0.00985  0.50   65539     646   65216  1627706  24.84
  1947          43     0.01017  0.01012  0.50   64893     656   64565  1562491  24.08
  1947          44     0.01055  0.01049  0.50   64237     674   63900  1497926  23.32
  1947          45     0.01110  0.01104  0.50   63563     702   63212  1434026  22.56
  1947          46     0.01186  0.01179  0.50   62861     741   62490  1370814  21.81
  1947          47     0.01272  0.01264  0.50   62120     785   61727  1308324  21.06
  1947          48     0.01361  0.01352  0.50   61335     829   60920  1246597  20.32
  1947          49     0.01450  0.01439  0.50   60505     871   60070  1185677  19.60
  1947          50     0.01545  0.01533  0.50   59634     914   59177  1125607  18.88
  1947          51     0.01657  0.01643  0.50   58720     965   58237  1066430  18.16
  1947          52     0.01789  0.01773  0.50   57755    1024   57243  1008193  17.46
  1947          53     0.01944  0.01926  0.50   56731    1092   56185   950950  16.76
  1947          54     0.02116  0.02094  0.50   55639    1165   55056   894765  16.08
  1947          55     0.02298  0.02272  0.50   54474    1238   53855   839709  15.41
  1947          56     0.02492  0.02461  0.50   53236    1310   52581   785854  14.76
  1947          57     0.02709  0.02673  0.50   51926    1388   51232   733273  14.12
  1947          58     0.02960  0.02917  0.50   50538    1474   49800   682041  13.50
  1947          59     0.03240  0.03188  0.50   49063    1564   48281   632241  12.89
  1947          60     0.03547  0.03485  0.50   47499    1656   46671   583960  12.29
  1947          61     0.03882  0.03808  0.50   45843    1746   44971   537289  11.72
  1947          62     0.04236  0.04148  0.50   44098    1829   43183   492318  11.16
  1947          63     0.04601  0.04498  0.50   42268    1901   41318   449135  10.63
  1947          64     0.04983  0.04862  0.50   40367    1963   39386   407817  10.10
  1947          65     0.05391  0.05249  0.50   38405    2016   37397   368431   9.59
  1947          66     0.05834  0.05668  0.50   36389    2063   35357   331035   9.10
  1947          67     0.06339  0.06144  0.50   34326    2109   33271   295677   8.61
  1947          68     0.06935  0.06702  0.50   32217    2159   31137   262406   8.14
  1947          69     0.07640  0.07359  0.50   30058    2212   28952   231269   7.69
  1947          70     0.08450  0.08108  0.50   27846    2258   26717   202317   7.27
  1947          71     0.09298  0.08885  0.50   25588    2273   24452   175600   6.86
  1947          72     0.10178  0.09685  0.50   23315    2258   22186   151148   6.48
  1947          73     0.11104  0.10520  0.50   21057    2215   19949   128963   6.12
  1947          74     0.12083  0.11394  0.50   18842    2147   17768   109013   5.79
  1947          75     0.13103  0.12298  0.50   16695    2053   15668    91245   5.47
  1947          76     0.14120  0.13189  0.50   14642    1931   13676    75577   5.16
  1947          77     0.15184  0.14113  0.50   12711    1794   11814    61901   4.87
  1947          78     0.16358  0.15121  0.50   10917    1651   10091    50087   4.59
  1947          79     0.17632  0.16204  0.50    9266    1501    8515    39996   4.32
  1947          80     0.18999  0.17350  0.50    7765    1347    7091    31480   4.05
  1947          81     0.20527  0.18616  0.50    6417    1195    5820    24389   3.80
  1947          82     0.22290  0.20055  0.50    5223    1047    4699    18569   3.56
