07.Fukushima.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09380  0.08807  0.31  100000    8807   93890  5108553  51.09
  1947           1     0.03147  0.03098  0.50   91193    2826   89780  5014663  54.99
  1947           2     0.02194  0.02170  0.50   88368    1918   87409  4924883  55.73
  1947           3     0.01418  0.01408  0.50   86450    1217   85841  4837474  55.96
  1947           4     0.00865  0.00861  0.50   85232     734   84865  4751633  55.75
  1947           5     0.00532  0.00530  0.50   84498     448   84274  4666768  55.23
  1947           6     0.00358  0.00358  0.50   84050     301   83900  4582494  54.52
  1947           7     0.00275  0.00274  0.50   83749     230   83635  4498594  53.71
  1947           8     0.00237  0.00237  0.50   83520     198   83421  4414959  52.86
  1947           9     0.00222  0.00222  0.50   83322     185   83230  4331538  51.99
  1947          10     0.00213  0.00213  0.50   83137     177   83049  4248309  51.10
  1947          11     0.00207  0.00207  0.50   82960     172   82874  4165260  50.21
  1947          12     0.00208  0.00208  0.50   82789     172   82702  4082385  49.31
  1947          13     0.00224  0.00224  0.50   82616     185   82524  3999683  48.41
  1947          14     0.00257  0.00257  0.50   82432     211   82326  3917159  47.52
  1947          15     0.00308  0.00308  0.50   82220     253   82094  3834833  46.64
  1947          16     0.00377  0.00376  0.50   81967     308   81813  3752739  45.78
  1947          17     0.00462  0.00461  0.50   81659     376   81471  3670926  44.95
  1947          18     0.00557  0.00555  0.50   81283     451   81057  3589455  44.16
  1947          19     0.00650  0.00648  0.50   80831     524   80569  3508398  43.40
  1947          20     0.00718  0.00716  0.50   80307     575   80020  3427829  42.68
  1947          21     0.00760  0.00757  0.50   79733     603   79431  3347809  41.99
  1947          22     0.00782  0.00779  0.50   79129     617   78821  3268378  41.30
  1947          23     0.00799  0.00796  0.50   78513     625   78200  3189557  40.62
  1947          24     0.00818  0.00815  0.50   77888     635   77570  3111357  39.95
  1947          25     0.00829  0.00825  0.50   77253     638   76934  3033787  39.27
  1947          26     0.00827  0.00823  0.50   76615     631   76300  2956852  38.59
  1947          27     0.00813  0.00810  0.50   75985     615   75677  2880552  37.91
  1947          28     0.00798  0.00795  0.50   75369     599   75070  2804875  37.22
  1947          29     0.00790  0.00787  0.50   74770     589   74476  2729806  36.51
  1947          30     0.00777  0.00774  0.50   74181     574   73894  2655330  35.80
  1947          31     0.00765  0.00762  0.50   73607     561   73327  2581436  35.07
  1947          32     0.00762  0.00759  0.50   73046     555   72769  2508109  34.34
  1947          33     0.00765  0.00762  0.50   72492     553   72215  2435340  33.59
  1947          34     0.00768  0.00765  0.50   71939     550   71664  2363125  32.85
