08.Ibaraki.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09664  0.09063  0.31  100000    9063   93783  5279712  52.80
  1947           1     0.02588  0.02555  0.50   90937    2323   89776  5185930  57.03
  1947           2     0.01907  0.01889  0.50   88614    1674   87777  5096154  57.51
  1947           3     0.01333  0.01324  0.50   86940    1151   86365  5008377  57.61
  1947           4     0.00892  0.00889  0.50   85789     762   85408  4922012  57.37
  1947           5     0.00587  0.00585  0.50   85027     498   84778  4836605  56.88
  1947           6     0.00398  0.00397  0.50   84529     336   84361  4751827  56.22
  1947           7     0.00297  0.00297  0.50   84193     250   84069  4667465  55.44
  1947           8     0.00243  0.00243  0.50   83944     204   83842  4583397  54.60
  1947           9     0.00213  0.00213  0.50   83740     178   83651  4499555  53.73
  1947          10     0.00191  0.00191  0.50   83562     159   83482  4415904  52.85
  1947          11     0.00180  0.00180  0.50   83402     150   83327  4332422  51.95
  1947          12     0.00185  0.00185  0.50   83252     154   83176  4249094  51.04
  1947          13     0.00205  0.00205  0.50   83099     170   83013  4165919  50.13
  1947          14     0.00239  0.00239  0.50   82928     198   82829  4082905  49.23
  1947          15     0.00286  0.00285  0.50   82730     236   82612  4000076  48.35
  1947          16     0.00340  0.00340  0.50   82494     280   82354  3917464  47.49
  1947          17     0.00399  0.00398  0.50   82214     327   82050  3835110  46.65
  1947          18     0.00459  0.00458  0.50   81887     375   81699  3753060  45.83
  1947          19     0.00516  0.00515  0.50   81512     420   81302  3671361  45.04
  1947          20     0.00564  0.00562  0.50   81092     456   80864  3590059  44.27
  1947          21     0.00610  0.00608  0.50   80636     490   80391  3509195  43.52
  1947          22     0.00663  0.00661  0.50   80146     530   79881  3428805  42.78
  1947          23     0.00712  0.00710  0.50   79616     565   79333  3348924  42.06
  1947          24     0.00741  0.00738  0.50   79051     583   78759  3269590  41.36
  1947          25     0.00747  0.00744  0.50   78468     584   78176  3190831  40.66
  1947          26     0.00736  0.00733  0.50   77884     571   77598  3112655  39.97
  1947          27     0.00715  0.00712  0.50   77313     550   77037  3035057  39.26
  1947          28     0.00691  0.00688  0.50   76762     528   76498  2958020  38.53
  1947          29     0.00671  0.00669  0.50   76234     510   75979  2881522  37.80
  1947          30     0.00657  0.00655  0.50   75724     496   75476  2805543  37.05
  1947          31     0.00650  0.00648  0.50   75228     487   74984  2730067  36.29
  1947          32     0.00651  0.00649  0.50   74740     485   74498  2655083  35.52
