09.Tochigi.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08329  0.07856  0.28  100000    7856   94323  5182532  51.83
  1947           1     0.03530  0.03469  0.50   92144    3196   90545  5088209  55.22
  1947           2     0.02176  0.02153  0.50   88947    1915   87990  4997663  56.19
  1947           3     0.01308  0.01300  0.50   87032    1131   86467  4909673  56.41
  1947           4     0.00845  0.00842  0.50   85901     723   85540  4823207  56.15
  1947           5     0.00590  0.00589  0.50   85178     501   84927  4737667  55.62
  1947           6     0.00447  0.00446  0.50   84677     377   84488  4652740  54.95
  1947           7     0.00348  0.00348  0.50   84299     293   84153  4568252  54.19
  1947           8     0.00263  0.00263  0.50   84006     221   83896  4484099  53.38
  1947           9     0.00201  0.00200  0.50   83786     168   83702  4400203  52.52
  1947          10     0.00173  0.00173  0.50   83618     145   83545  4316502  51.62
  1947          11     0.00169  0.00169  0.50   83473     141   83402  4232957  50.71
  1947          12     0.00174  0.00174  0.50   83331     145   83259  4149555  49.80
  1947          13     0.00188  0.00188  0.50   83187     156   83108  4066296  48.88
  1947          14     0.00209  0.00209  0.50   83030     173   82944  3983187  47.97
  1947          15     0.00238  0.00238  0.50   82857     197   82758  3900244  47.07
  1947          16     0.00298  0.00298  0.50   82660     246   82537  3817485  46.18
  1947          17     0.00405  0.00405  0.50   82413     333   82247  3734949  45.32
  1947          18     0.00533  0.00531  0.50   82080     436   81862  3652702  44.50
  1947          19     0.00640  0.00638  0.50   81644     521   81383  3570840  43.74
  1947          20     0.00699  0.00697  0.50   81123     565   80840  3489457  43.01
  1947          21     0.00754  0.00752  0.50   80557     605   80255  3408617  42.31
  1947          22     0.00845  0.00841  0.50   79952     673   79616  3328362  41.63
  1947          23     0.00911  0.00907  0.50   79279     719   78920  3248746  40.98
  1947          24     0.00898  0.00894  0.50   78560     702   78209  3169826  40.35
  1947          25     0.00856  0.00853  0.50   77858     664   77526  3091617  39.71
  1947          26     0.00806  0.00803  0.50   77194     620   76884  3014092  39.05
  1947          27     0.00759  0.00756  0.50   76574     579   76285  2937208  38.36
  1947          28     0.00740  0.00737  0.50   75995     560   75715  2860923  37.65
  1947          29     0.00763  0.00760  0.50   75435     573   75149  2785208  36.92
  1947          30     0.00788  0.00785  0.50   74862     588   74568  2710059  36.20
  1947          31     0.00782  0.00779  0.50   74274     579   73985  2635491  35.48
  1947          32     0.00736  0.00733  0.50   73695     540   73425  2561507  34.76
  1947          33     0.00710  0.00708  0.50   73155     518   72896  2488081  34.01
  1947          34     0.00758  0.00755  0.50   72637     548   72363  2415185  33.25
  1947          35     0.00819  0.00816  0.50   72089     588   71795  2342822  32.50
  1947          36     0.00828  0.00825  0.50   71501     590   71206  2271027  31.76
  1947          37     0.00799  0.00796  0.50   70911     564   70629  2199821  31.02
  1947          38     0.00778  0.00775  0.50   70347     545   70075  2129191  30.27
  1947          39     0.00796  0.00792  0.50   69802     553   69526  2059117  29.50
  1947          40     0.00810  0.00807  0.50   69249     559   68970  1989591  28.73
  1947          41     0.00790  0.00787  0.50   68690     540   68420  1920622  27.96
  1947          42     0.00800  0.00797  0.50   68150     543   67878  1852202  27.18
  1947          43     0.00833  0.00829  0.50   67607     561   67327  1784323  26.39
  1947          44     0.00864  0.00860  0.50   67046     576   66758  1716996  25.61
  1947          45     0.00902  0.00898  0.50   66470     597   66172  1650238  24.83
  1947          46     0.00971  0.00966  0.50   65873     637   65555  1584067  24.05
